Query,Query Path,SrcFileName,Line,Column,NodeID,Name,DestFileName,DestLine,DestColumn,DestNodeId,DestName,Result State,Result Severity,Comment,Link,Result Status,Detection Date,Scanner,Platform,Category,Expected Value,Actual Value,Issue Type,Package,Package Id,Package Version,Category Name,CVE,CWE,Image,Secret Type,Check,File/Artifact,Location Line,Commit SHA,Validity,Remediation
Stored_XSS,java/Java_Critical_Risk/Stored_XSS,/src/main/java/org/cysecurity/cspf/jvl/controller/LoginValidator.java,52,36,uaVh6uC79n0xNRj2+dFMw8x/LNI=,rs,/src/main/webapp/vulnerability/SendMessage.jsp,21,73,hLi6CA+gxHbV/d8LfBtULTLHc2Y=,getAttribute,To Verify,CRITICAL,-,https://rel-candidate.perf.cxast.net/sast-results/3534332e-7e18-446a-8446-de7e2bbd8027/7a0c2bd5-b974-40a6-927a-88b54c562444?redirect=true&resultId=1TfbuBJsNOQmj0m0AwwYE%2FxFRz8%3D,NEW,04/01/2026 16:27,SAST,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Stored_XSS,java/Java_Critical_Risk/Stored_XSS,/src/main/java/org/cysecurity/cspf/jvl/controller/LoginValidator.java,52,36,uaVh6uC79n0xNRj2+dFMw8x/LNI=,rs,/src/main/webapp/header.jsp,87,137,HLj4a5pVQEG4Wy3Pj0ccAutePa8=,print,To Verify,CRITICAL,-,https://rel-candidate.perf.cxast.net/sast-results/3534332e-7e18-446a-8446-de7e2bbd8027/7a0c2bd5-b974-40a6-927a-88b54c562444?redirect=true&resultId=iOMB2xlWJX8mAIfAJgGwGpkGSUo%3D,NEW,04/01/2026 16:27,SAST,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Stored_XSS,java/Java_Critical_Risk/Stored_XSS,/src/main/java/org/cysecurity/cspf/jvl/controller/LoginValidator.java,52,36,uaVh6uC79n0xNRj2+dFMw8x/LNI=,rs,/src/main/webapp/vulnerability/Messages.jsp,24,15,phI+ytURXXjRr381Bhbx7VghuEk=,print,To Verify,CRITICAL,-,https://rel-candidate.perf.cxast.net/sast-results/3534332e-7e18-446a-8446-de7e2bbd8027/7a0c2bd5-b974-40a6-927a-88b54c562444?redirect=true&resultId=VnD%2FoF4ILorv%2F6QdvoahdturHwI%3D,NEW,04/01/2026 16:27,SAST,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Stored_XSS,java/Java_Critical_Risk/Stored_XSS,/src/main/java/org/cysecurity/cspf/jvl/controller/LoginValidator.java,52,36,uaVh6uC79n0xNRj2+dFMw8x/LNI=,rs,/src/main/webapp/vulnerability/idor/change-email.jsp,19,65,uvXKmM3OBpDbluCZgSBidmkGE0k=,print,To Verify,CRITICAL,-,https://rel-candidate.perf.cxast.net/sast-results/3534332e-7e18-446a-8446-de7e2bbd8027/7a0c2bd5-b974-40a6-927a-88b54c562444?redirect=true&resultId=Mk%2B8SRvraKe6Qk4oxYNxFXnWmf4%3D,NEW,04/01/2026 16:27,SAST,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Second_Order_SQL_Injection,java/Java_Critical_Risk/Second_Order_SQL_Injection,/src/main/java/org/cysecurity/cspf/jvl/controller/LoginValidator.java,52,36,uaVh6uC79n0xNRj2+dFMw8x/LNI=,rs,/src/main/webapp/changeCardDetails.jsp,43,128,XYt3rG2dwccdzhzEb31CGBihh5Y=,BinaryExpr,To Verify,CRITICAL,-,https://rel-candidate.perf.cxast.net/sast-results/3534332e-7e18-446a-8446-de7e2bbd8027/7a0c2bd5-b974-40a6-927a-88b54c562444?redirect=true&resultId=rSrv42nxi%2BuyrIpraUpFeSJ%2BLC8%3D,NEW,04/01/2026 16:27,SAST,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Second_Order_SQL_Injection,java/Java_Critical_Risk/Second_Order_SQL_Injection,/src/main/java/org/cysecurity/cspf/jvl/controller/LoginValidator.java,52,36,uaVh6uC79n0xNRj2+dFMw8x/LNI=,rs,/src/main/webapp/vulnerability/csrf/change-info.jsp,31,77,tgCfAo/azHVgv0o5x0nfvU5NhuA=,BinaryExpr,To Verify,CRITICAL,-,https://rel-candidate.perf.cxast.net/sast-results/3534332e-7e18-446a-8446-de7e2bbd8027/7a0c2bd5-b974-40a6-927a-88b54c562444?redirect=true&resultId=glbV0AwFtDu0UVwCDArmnjSK%2BDw%3D,NEW,04/01/2026 16:27,SAST,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Second_Order_SQL_Injection,java/Java_Critical_Risk/Second_Order_SQL_Injection,/src/main/java/org/cysecurity/cspf/jvl/controller/LoginValidator.java,52,36,uaVh6uC79n0xNRj2+dFMw8x/LNI=,rs,/src/main/webapp/vulnerability/csrf/changepassword.jsp,40,82,G2tdD4bi18QN62j7IEa3TAidKkU=,BinaryExpr,To Verify,CRITICAL,-,https://rel-candidate.perf.cxast.net/sast-results/3534332e-7e18-446a-8446-de7e2bbd8027/7a0c2bd5-b974-40a6-927a-88b54c562444?redirect=true&resultId=8h2S1sxLwULRwlp3qj9KBUbPrgk%3D,NEW,04/01/2026 16:27,SAST,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Second_Order_SQL_Injection,java/Java_Critical_Risk/Second_Order_SQL_Injection,/src/main/java/org/cysecurity/cspf/jvl/controller/LoginValidator.java,52,36,uaVh6uC79n0xNRj2+dFMw8x/LNI=,rs,/src/main/webapp/vulnerability/Messages.jsp,14,110,Yf/nMTDg7kxGy0x12gDKmoRlbfY=,BinaryExpr,To Verify,CRITICAL,-,https://rel-candidate.perf.cxast.net/sast-results/3534332e-7e18-446a-8446-de7e2bbd8027/7a0c2bd5-b974-40a6-927a-88b54c562444?redirect=true&resultId=lN3vudPBMISIxViRJMC%2B4B7j%2BuA%3D,NEW,04/01/2026 16:27,SAST,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Stored_XSS,java/Java_Critical_Risk/Stored_XSS,/src/main/webapp/vulnerability/Injection/orm.jsp,12,21,yshkax4ozyE/Wegv8AJj1biGzeU=,list,/src/main/webapp/vulnerability/Injection/orm.jsp,50,18,BTRv2CkMIGUCjmkEtv2s2zxLE5M=,print,To Verify,CRITICAL,-,https://rel-candidate.perf.cxast.net/sast-results/3534332e-7e18-446a-8446-de7e2bbd8027/7a0c2bd5-b974-40a6-927a-88b54c562444?redirect=true&resultId=lNK6zX0d7EwfP7dDzfx5aonU4N4%3D,NEW,04/01/2026 16:27,SAST,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Stored_XSS,java/Java_Critical_Risk/Stored_XSS,/src/main/webapp/ForgotPassword.jsp,42,19,tOym9gbFmDCcA7cszY8g4UyZNZY=,rs,/src/main/webapp/ForgotPassword.jsp,44,32,m159q1wKUFlOWHmvTBspy3lIQ5c=,print,To Verify,CRITICAL,-,https://rel-candidate.perf.cxast.net/sast-results/3534332e-7e18-446a-8446-de7e2bbd8027/7a0c2bd5-b974-40a6-927a-88b54c562444?redirect=true&resultId=QWvOobTPDU2IEX2EbeMTQTxgYSU%3D,NEW,04/01/2026 16:27,SAST,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Stored_XSS,java/Java_Critical_Risk/Stored_XSS,/src/main/webapp/admin/adminlogin.jsp,19,36,/UiU+PaPT8diwn95q9P7Aq2XM/0=,rs,/src/main/webapp/vulnerability/forum.jsp,32,111,o9/kAvFBhj2KmFErhzAFiUBEQYg=,print,To Verify,CRITICAL,-,https://rel-candidate.perf.cxast.net/sast-results/3534332e-7e18-446a-8446-de7e2bbd8027/7a0c2bd5-b974-40a6-927a-88b54c562444?redirect=true&resultId=5K4TQAWhLfN1teV8uorXs1qRrEo%3D,NEW,04/01/2026 16:27,SAST,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Stored_XSS,java/Java_Critical_Risk/Stored_XSS,/src/main/webapp/admin/adminlogin.jsp,19,36,/UiU+PaPT8diwn95q9P7Aq2XM/0=,rs,/src/main/webapp/vulnerability/csrf/change-info.jsp,35,14,+fl1+LFNhM1lA6JmI9AqvigAeF4=,print,To Verify,CRITICAL,-,https://rel-candidate.perf.cxast.net/sast-results/3534332e-7e18-446a-8446-de7e2bbd8027/7a0c2bd5-b974-40a6-927a-88b54c562444?redirect=true&resultId=pPT5I103mplR0QFLmEAXE%2F0gUeg%3D,NEW,04/01/2026 16:27,SAST,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Stored_XSS,java/Java_Critical_Risk/Stored_XSS,/src/main/webapp/admin/adminlogin.jsp,19,36,/UiU+PaPT8diwn95q9P7Aq2XM/0=,rs,/src/main/webapp/changeCardDetails.jsp,52,15,J8T6CdK5NfndRRMP5zPqXo9EFyQ=,print,To Verify,CRITICAL,-,https://rel-candidate.perf.cxast.net/sast-results/3534332e-7e18-446a-8446-de7e2bbd8027/7a0c2bd5-b974-40a6-927a-88b54c562444?redirect=true&resultId=VmiIdZWntxm09%2Bvc%2BrxKn6cOG1s%3D,NEW,04/01/2026 16:27,SAST,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Stored_XSS,java/Java_Critical_Risk/Stored_XSS,/src/main/webapp/admin/adminlogin.jsp,19,36,/UiU+PaPT8diwn95q9P7Aq2XM/0=,rs,/src/main/webapp/vulnerability/SendMessage.jsp,21,73,hLi6CA+gxHbV/d8LfBtULTLHc2Y=,getAttribute,To Verify,CRITICAL,-,https://rel-candidate.perf.cxast.net/sast-results/3534332e-7e18-446a-8446-de7e2bbd8027/7a0c2bd5-b974-40a6-927a-88b54c562444?redirect=true&resultId=wpzW9gIL4PzpJRoOTJHhvRVKFDA%3D,NEW,04/01/2026 16:27,SAST,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Stored_XSS,java/Java_Critical_Risk/Stored_XSS,/src/main/webapp/admin/adminlogin.jsp,19,36,/UiU+PaPT8diwn95q9P7Aq2XM/0=,rs,/src/main/webapp/vulnerability/forum.jsp,24,29,XM0QL01lzKi9ntiLsO9q078UWRQ=,print,To Verify,CRITICAL,-,https://rel-candidate.perf.cxast.net/sast-results/3534332e-7e18-446a-8446-de7e2bbd8027/7a0c2bd5-b974-40a6-927a-88b54c562444?redirect=true&resultId=YNdy4U4ngeg2SAbHd3nC96JIoeI%3D,NEW,04/01/2026 16:27,SAST,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Stored_XSS,java/Java_Critical_Risk/Stored_XSS,/src/main/webapp/admin/adminlogin.jsp,19,36,/UiU+PaPT8diwn95q9P7Aq2XM/0=,rs,/src/main/webapp/index.jsp,5,14,VSuh0civBwmabuDu+AVgzC93MKg=,print,To Verify,CRITICAL,-,https://rel-candidate.perf.cxast.net/sast-results/3534332e-7e18-446a-8446-de7e2bbd8027/7a0c2bd5-b974-40a6-927a-88b54c562444?redirect=true&resultId=AoQFJtg9tkMNwsYmZ9RS9o3By7w%3D,NEW,04/01/2026 16:27,SAST,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Stored_XSS,java/Java_Critical_Risk/Stored_XSS,/src/main/webapp/admin/adminlogin.jsp,19,36,/UiU+PaPT8diwn95q9P7Aq2XM/0=,rs,/src/main/webapp/header.jsp,148,46,9Z3YE2mqqhwWAiSvCV6cCqOCP0U=,print,To Verify,CRITICAL,-,https://rel-candidate.perf.cxast.net/sast-results/3534332e-7e18-446a-8446-de7e2bbd8027/7a0c2bd5-b974-40a6-927a-88b54c562444?redirect=true&resultId=1rJMxK%2FUg8tQwZufWAyLIsv3mos%3D,NEW,04/01/2026 16:27,SAST,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Stored_XSS,java/Java_Critical_Risk/Stored_XSS,/src/main/webapp/admin/adminlogin.jsp,19,36,/UiU+PaPT8diwn95q9P7Aq2XM/0=,rs,/src/main/webapp/header.jsp,87,137,HLj4a5pVQEG4Wy3Pj0ccAutePa8=,print,To Verify,CRITICAL,-,https://rel-candidate.perf.cxast.net/sast-results/3534332e-7e18-446a-8446-de7e2bbd8027/7a0c2bd5-b974-40a6-927a-88b54c562444?redirect=true&resultId=BeWIbPCvBaB5wHtLhHj%2BwtkrkPw%3D,NEW,04/01/2026 16:27,SAST,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Stored_XSS,java/Java_Critical_Risk/Stored_XSS,/src/main/webapp/admin/adminlogin.jsp,19,36,/UiU+PaPT8diwn95q9P7Aq2XM/0=,rs,/src/main/webapp/vulnerability/DisplayMessage.jsp,35,24,IFtaq5fc01j80jS5ng2rMi7WEDM=,print,To Verify,CRITICAL,-,https://rel-candidate.perf.cxast.net/sast-results/3534332e-7e18-446a-8446-de7e2bbd8027/7a0c2bd5-b974-40a6-927a-88b54c562444?redirect=true&resultId=mVgCOKT3oqC82xFfdBrkXbnfE4U%3D,NEW,04/01/2026 16:27,SAST,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Stored_XSS,java/Java_Critical_Risk/Stored_XSS,/src/main/webapp/admin/adminlogin.jsp,19,36,/UiU+PaPT8diwn95q9P7Aq2XM/0=,rs,/src/main/webapp/vulnerability/idor/change-email.jsp,36,14,1DAFqD+SbllgE3RMQXOUsHx1Or4=,print,To Verify,CRITICAL,-,https://rel-candidate.perf.cxast.net/sast-results/3534332e-7e18-446a-8446-de7e2bbd8027/7a0c2bd5-b974-40a6-927a-88b54c562444?redirect=true&resultId=Vy77upea%2F7lWO2Mkj2wDRkyNYfo%3D,NEW,04/01/2026 16:27,SAST,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Stored_XSS,java/Java_Critical_Risk/Stored_XSS,/src/main/webapp/admin/adminlogin.jsp,19,36,/UiU+PaPT8diwn95q9P7Aq2XM/0=,rs,/src/main/webapp/vulnerability/Messages.jsp,24,15,phI+ytURXXjRr381Bhbx7VghuEk=,print,To Verify,CRITICAL,-,https://rel-candidate.perf.cxast.net/sast-results/3534332e-7e18-446a-8446-de7e2bbd8027/7a0c2bd5-b974-40a6-927a-88b54c562444?redirect=true&resultId=hOmZzE3RzMyBPcES2bBODWclwck%3D,NEW,04/01/2026 16:27,SAST,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Stored_XSS,java/Java_Critical_Risk/Stored_XSS,/src/main/webapp/vulnerability/UserDetails.jsp,13,14,A33XlLjQWkIT4FwULiw5AlQSeFE=,rs,/src/main/webapp/vulnerability/UserDetails.jsp,16,26,8MaUts0c9hDxMv9wF6K3s93bebg=,print,To Verify,CRITICAL,-,https://rel-candidate.perf.cxast.net/sast-results/3534332e-7e18-446a-8446-de7e2bbd8027/7a0c2bd5-b974-40a6-927a-88b54c562444?redirect=true&resultId=LmXFsafHQCd9lV3hd8yGLao9X0Y%3D,NEW,04/01/2026 16:27,SAST,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Stored_XSS,java/Java_Critical_Risk/Stored_XSS,/src/main/webapp/vulnerability/forum.jsp,60,14,sGPzx6BmoCftkAc+afUDDNamypA=,rs,/src/main/webapp/vulnerability/forum.jsp,73,30,pset9hcwzmHk7KX58xirEaAEED0=,print,To Verify,CRITICAL,-,https://rel-candidate.perf.cxast.net/sast-results/3534332e-7e18-446a-8446-de7e2bbd8027/7a0c2bd5-b974-40a6-927a-88b54c562444?redirect=true&resultId=JjFTg2G5%2BRxnPppNX42tGfOqPFk%3D,NEW,04/01/2026 16:27,SAST,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
